,0
533,0
534,0
535,0
536,0
537,0
538,1
539,0
540,1
541,0
542,0
543,0
544,0
545,0
546,1
547,0
548,0
549,1
550,1
551,0
552,1
553,1
554,0
555,1
556,0
557,1
558,1
559,0
560,0
561,1
562,1
563,1
564,0
565,1
566,0
567,0
568,1
569,1
570,0
571,0
572,0
573,0
574,1
575,1
576,1
577,0
578,0
579,1
580,0
581,1
582,0
583,0
584,0
585,0
586,1
587,0
588,0
589,0
590,0
591,1
592,0
593,1
594,1
595,1
596,1
597,0
598,0
599,1
600,1
601,0
602,1
603,1
604,1
605,0
606,1
607,0
608,1
609,0
610,1
611,0
612,0
613,0
614,0
615,1
616,1
617,1
618,1
619,0
620,1
621,0
622,0
623,1
624,0
625,1
626,0
627,1
628,0
629,0
630,0
631,0
632,0
633,1
634,0
635,0
636,1
637,1
638,1
639,1
640,1
641,0
642,1
643,1
644,0
645,0
646,0
647,1
648,0
649,0
650,0
651,0
652,0
653,1
654,0
655,0
656,0
657,1
658,1
659,0
660,1
661,1
662,1
663,0
664,1
665,1
666,1
667,1
668,1
669,1
670,1
671,1
672,1
673,1
674,1
675,0
676,1
677,0
678,0
679,0
680,1
681,0
682,1
683,0
684,0
685,0
686,0
687,1
688,0
689,0
690,0
691,0
692,1
693,0
694,0
695,1
696,0
697,1
698,1
699,0
700,0
701,1
702,1
703,1
704,0
705,0
706,0
707,0
708,0
709,0
710,0
711,1
712,1
713,0
714,1
715,1
716,0
717,0
718,1
719,0
720,1
721,0
722,0
723,0
724,1
725,0
726,0
727,1
728,0
729,0
730,1
731,1
732,1
733,1
734,0
735,1
736,1
737,0
738,0
739,1
740,1
741,1
742,0
743,0
744,1
745,1
746,1
747,0
748,0
749,1
750,1
751,0
752,0
753,0
754,1
755,0
756,0
757,0
758,0
759,1
760,0
761,0
762,0
763,1
764,0
765,0
766,0
767,1
768,1
769,0
770,1
771,0
772,0
773,0
774,1
775,0
776,1
777,1
778,1
779,1
780,0
781,0
782,0
783,1
784,1
785,0
786,1
787,1
788,1
789,1
790,1
791,0
792,0
793,0
794,0
795,0
796,0
797,1
798,0
799,0
800,1
801,0
802,0
803,0
804,1
805,0
806,0
807,0
808,1
809,0
810,1
811,1
812,1
813,0
814,1
815,0
816,1
817,1
818,0
819,0
820,0
821,1
822,0
823,0
824,1
825,1
826,0
827,0
828,1
829,1
830,1
831,1
832,0
833,0
834,1
835,0
836,0
837,1
838,1
839,0
840,1
841,1
842,0
843,1
844,0
845,0
846,0
847,0
848,0
849,1
850,1
851,0
852,0
853,0
854,1
855,0
856,1
857,0
858,1
859,1
860,0
861,1
862,0
863,0
864,0
865,1
866,1
867,0
868,1
869,0
870,1
871,0
872,1
873,1
874,0
875,0
876,0
877,1
878,1
879,0
880,1
881,0
882,0
883,0
884,0
885,1
886,0
887,1
888,0
889,0
890,0
891,1
892,1
893,0
894,0
895,0
896,0
897,0
898,1
899,0
900,0
901,0
902,0
903,0
904,1
905,1
906,0
907,0
908,1
909,1
910,1
911,1
912,0
913,1
914,0
915,0
916,1
917,0
918,0
919,0
920,0
921,1
922,0
923,0
924,1
925,1
926,1
927,0
928,0
929,1
930,1
931,0
932,1
933,0
934,1
935,1
936,0
937,1
938,1
939,0
940,1
941,1
942,1
943,1
944,0
945,0
946,1
947,0
948,1
949,0
950,0
951,0
952,1
953,0
954,1
955,0
956,1
957,1
958,1
959,1
960,0
961,1
962,0
963,0
964,0
965,0
966,1
967,0
968,0
969,1
970,0
971,0
972,1
973,1
974,0
975,0
976,0
977,1
978,1
979,1
980,0
981,1
982,1
983,1
984,0
985,0
986,0
987,1
988,0
989,0
990,0
991,0
992,0
993,0
994,1
995,0
996,0
997,0
998,0
999,1
1000,1
1001,0
1002,0
1003,0
1004,0
1005,1
1006,0
1007,1
1008,1
1009,0
1010,0
1011,0
1012,1
1013,0
1014,0
1015,1
1016,1
1017,0
1018,1
1019,1
1020,1
1021,0
1022,1
1023,1
1024,0
1025,0
1026,1
1027,0
1028,1
1029,0
1030,1
1031,1
1032,1
1033,1
1034,0
1035,0
1036,0
1037,1
1038,0
1039,1
1040,0
1041,0
1042,1
1043,0
1044,0
1045,1
1046,1
1047,0
1048,0
1049,1
1050,0
1051,0
1052,0
1053,0
1054,0
1055,0
1056,1
1057,0
1058,1
1059,1
1060,0
1061,1
1062,1
1063,1
1064,0
1065,0
1066,1
1067,1
1068,1
1069,0
1070,0
1071,1
1072,1
1073,0
1074,0
1075,0
1076,1
1077,1
1078,1
1079,1
1080,0
1081,0
1082,1
1083,0
1084,0
1085,1
1086,0
1087,0
1088,1
1089,1
1090,1
1091,0
1092,0
1093,1
1094,1
1095,1
1096,0
1097,0
1098,1
1099,1
1100,0
1101,1
1102,0
1103,1
1104,0
1105,1
1106,1
1107,1
1108,1
1109,1
1110,1
1111,1
1112,0
1113,1
1114,1
1115,0
1116,1
1117,0
1118,0
1119,0
1120,1
1121,0
1122,1
1123,0
1124,1
1125,1
1126,0
1127,1
1128,0
1129,1
1130,1
1131,1
1132,1
1133,0
1134,1
1135,1
1136,0
1137,1
1138,1
1139,1
1140,0
1141,0
1142,1
1143,1
1144,0
1145,0
1146,0
1147,0
1148,1
1149,1
1150,1
1151,1
1152,1
1153,1
1154,0
1155,0
1156,1
1157,1
1158,1
1159,1
1160,0
1161,1
1162,0
1163,0
1164,1
1165,1
1166,0
1167,1
1168,0
1169,0
1170,0
1171,0
1172,0
1173,0
1174,0
1175,0
1176,1
1177,0
1178,1
1179,1
1180,0
1181,1
1182,0
1183,0
1184,1
1185,1
1186,1
1187,1
1188,0
1189,1
1190,0
1191,1
1192,0
1193,0
1194,0
1195,0
1196,1
1197,1
1198,0
1199,1
1200,0
1201,0
1202,0
1203,0
1204,1
1205,1
1206,0
1207,0
1208,1
1209,0
1210,1
1211,0
1212,1
1213,0
1214,1
1215,1
1216,1
1217,0
1218,0
1219,1
1220,0
1221,0
1222,1
1223,0
1224,1
1225,1
1226,0
1227,0
1228,0
1229,1
1230,0
1231,0
1232,1
1233,1
1234,1
1235,1
1236,1
1237,1
1238,0
1239,1
1240,0
1241,0
1242,0
1243,1
1244,0
1245,1
1246,1
1247,1
1248,0
1249,0
1250,1
1251,0
1252,1
1253,0
1254,0
1255,0
1256,1
1257,1
1258,1
1259,1
1260,0
1261,1
1262,1
1263,1
1264,1
1265,0
1266,0
1267,0
1268,0
1269,0
1270,1
1271,0
1272,1
1273,0
1274,0
1275,0
1276,0
1277,0
1278,0
1279,1
1280,1
1281,0
1282,0
1283,1
1284,0
1285,0
1286,0
1287,0
1288,0
1289,1
1290,1
1291,1
1292,1
1293,1
1294,0
1295,0
1296,0
1297,0
1298,1
1299,1
1300,1
1301,1
1302,1
1303,0
1304,1
1305,1
1306,1
1307,0
1308,0
1309,1
1310,0
1311,0
1312,1
1313,1
1314,0
1315,1
1316,0
1317,0
1318,0
1319,1
1320,1
1321,0
1322,1
1323,0
1324,1
1325,0
1326,0
1327,0
1328,1
1329,0
1330,0
1331,0
1332,1
1333,1
1334,1
1335,0
1336,0
1337,0
1338,1
1339,0
1340,1
1341,0
1342,1
1343,1
1344,0
1345,1
1346,1
1347,1
1348,0
1349,0
1350,1
1351,1
1352,0
1353,1
1354,0
1355,1
1356,1
1357,1
1358,0
1359,1
1360,0
1361,0
1362,1
1363,1
1364,0
1365,1
1366,0
1367,1
1368,1
1369,0
1370,0
1371,0
1372,0
1373,0
1374,1
1375,1
1376,1
1377,0
1378,1
1379,0
1380,1
1381,0
1382,0
1383,0
1384,0
1385,0
1386,1
1387,1
1388,1
1389,1
1390,0
1391,0
1392,0
1393,1
1394,1
1395,1
1396,0
1397,0
1398,1
1399,0
1400,0
1401,0
1402,1
1403,1
1404,1
1405,1
1406,1
1407,0
1408,0
1409,0
1410,0
1411,0
1412,1
1413,1
1414,1
1415,1
1416,0
1417,0
1418,0
1419,0
1420,0
1421,1
1422,0
1423,0
1424,0
1425,0
1426,0
1427,1
1428,1
1429,0
1430,0
1431,0
1432,0
1433,1
1434,0
1435,0
1436,0
1437,0
1438,0
1439,0
1440,0
1441,1
1442,1
1443,0
1444,1
1445,1
1446,1
1447,1
1448,1
1449,1
1450,0
1451,0
1452,0
1453,1
1454,0
1455,1
1456,1
1457,1
1458,0
1459,1
1460,0
1461,1
1462,0
1463,1
1464,1
1465,1
1466,0
1467,1
1468,0
1469,1
1470,1
1471,1
1472,1
1473,1
1474,0
1475,1
1476,1
1477,0
1478,0
1479,1
1480,0
1481,0
1482,1
1483,0
1484,1
1485,0
1486,1
1487,0
1488,0
1489,0
1490,0
1491,0
1492,0
1493,0
1494,0
1495,1
1496,0
1497,0
1498,1
1499,1
1500,1
1501,0
1502,0
1503,0
1504,0
1505,0
1506,0
1507,0
1508,0
1509,1
1510,1
1511,0
1512,1
1513,0
1514,0
1515,0
1516,0
1517,0
1518,0
1519,0
1520,1
1521,1
1522,0
1523,1
1524,0
1525,1
1526,1
1527,0
1528,0
1529,1
1530,1
1531,0
1532,1
1533,0
1534,1
1535,0
1536,1
1537,0
1538,0
1539,1
1540,0
1541,1
1542,0
1543,1
1544,0
1545,0
1546,1
1547,1
1548,1
1549,0
1550,0
1551,0
1552,0
1553,0
1554,0
1555,0
1556,0
1557,0
1558,0
1559,1
1560,1
1561,0
1562,0
1563,0
1564,1
1565,1
1566,0
1567,1
1568,0
1569,0
1570,0
1571,0
1572,1
1573,0
1574,1
1575,0
1576,1
1577,1
1578,0
1579,1
1580,1
1581,1
1582,1
1583,1
1584,1
1585,1
1586,1
1587,1
1588,1
1589,0
1590,1
1591,0
1592,0
1593,0
1594,0
1595,0
1596,0
1597,1
1598,1
1599,0
1600,1
1601,1
1602,0
1603,0
1604,0
1605,1
1606,1
1607,0
1608,1
1609,0
1610,0
1611,1
1612,0
1613,0
1614,0
1615,0
1616,1
1617,0
1618,1
1619,0
1620,0
1621,1
1622,0
1623,0
1624,1
1625,0
1626,0
1627,0
1628,1
1629,1
1630,0
1631,1
1632,1
1633,0
1634,0
1635,1
1636,1
1637,1
1638,0
1639,0
1640,0
1641,0
1642,0
1643,0
1644,0
1645,1
1646,1
1647,0
1648,0
1649,1
1650,0
1651,1
1652,0
1653,1
1654,0
1655,0
1656,1
1657,1
1658,1
1659,0
1660,1
1661,1
1662,0
1663,0
1664,1
1665,1
1666,0
1667,0
1668,0
1669,1
1670,1
1671,0
1672,0
1673,1
1674,1
1675,1
1676,0
1677,0
1678,1
1679,1
1680,1
1681,0
1682,0
1683,1
1684,1
1685,0
1686,0
1687,1
1688,1
1689,0
1690,1
1691,0
1692,0
1693,1
1694,0
1695,0
1696,1
1697,1
1698,0
1699,1
1700,0
1701,0
1702,0
1703,1
1704,1
1705,0
1706,0
1707,0
1708,0
1709,0
1710,1
1711,1
1712,0
1713,1
1714,1
1715,1
1716,0
1717,0
1718,1
1719,0
1720,0
1721,1
1722,1
1723,0
1724,0
1725,1
1726,1
1727,1
1728,1
1729,1
1730,0
1731,0
1732,0
1733,1
1734,0
1735,0
1736,0
1737,1
1738,1
1739,0
1740,0
1741,1
1742,0
1743,1
1744,1
1745,0
1746,1
1747,0
1748,1
1749,0
1750,1
1751,0
1752,0
1753,1
1754,0
1755,0
1756,0
1757,0
1758,1
1759,0
1760,0
1761,1
1762,0
1763,1
1764,0
1765,0
1766,1
1767,0
1768,1
1769,0
1770,0
1771,0
1772,1
1773,1
1774,1
1775,0
1776,0
1777,0
1778,1
1779,1
1780,1
1781,1
1782,0
1783,0
1784,1
1785,0
1786,0
1787,0
1788,0
1789,1
1790,1
1791,0
1792,1
1793,1
1794,1
1795,0
1796,1
1797,1
1798,1
1799,1
1800,1
1801,1
1802,1
1803,1
1804,0
1805,0
1806,0
1807,0
1808,1
1809,0
1810,1
1811,1
1812,1
1813,1
1814,0
1815,0
1816,1
1817,1
1818,0
1819,1
1820,0
1821,0
1822,1
1823,0
1824,1
1825,0
1826,0
1827,0
1828,0
1829,0
1830,0
1831,1
1832,1
1833,0
1834,1
1835,0
1836,0
1837,0
1838,1
1839,1
1840,0
1841,0
1842,0
1843,1
1844,0
1845,0
1846,1
1847,1
1848,1
1849,0
1850,0
1851,0
1852,0
1853,1
1854,0
1855,0
1856,0
1857,0
1858,0
1859,0
1860,0
1861,0
1862,0
1863,1
1864,1
1865,0
1866,1
1867,1
1868,1
1869,1
1870,0
1871,0
1872,1
1873,0
1874,0
1875,0
1876,1
1877,1
1878,1
1879,1
1880,1
1881,1
1882,1
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,1
1890,0
1891,0
1892,0
1893,0
1894,1
1895,0
1896,1
1897,0
1898,1
1899,1
1900,1
1901,1
1902,0
1903,0
1904,0
1905,1
1906,0
1907,0
1908,1
1909,1
1910,0
1911,1
1912,0
1913,1
1914,0
1915,1
1916,0
1917,0
1918,0
1919,1
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,1
1927,0
1928,1
1929,1
1930,0
1931,1
1932,0
1933,0
1934,1
1935,1
1936,1
1937,1
1938,1
1939,0
1940,0
1941,1
1942,1
1943,0
1944,0
1945,0
1946,1
1947,0
1948,1
1949,0
1950,1
1951,1
1952,0
1953,1
1954,1
1955,0
1956,1
1957,0
1958,0
1959,0
1960,1
1961,1
1962,1
1963,0
1964,1
1965,1
1966,0
1967,0
1968,0
1969,1
1970,0
1971,1
1972,0
1973,0
1974,0
1975,0
1976,0
1977,1
1978,0
1979,1
1980,0
1981,1
1982,1
1983,0
1984,1
1985,1
1986,0
1987,0
1988,0
1989,0
1990,0
1991,1
1992,1
1993,1
1994,0
1995,0
1996,0
1997,1
1998,1
1999,1
2000,1
2001,0
2002,1
2003,1
2004,0
2005,0
2006,0
2007,1
2008,1
2009,1
2010,1
2011,1
2012,0
2013,1
2014,0
2015,0
2016,0
2017,0
2018,0
2019,0
2020,1
2021,0
2022,0
2023,0
2024,0
2025,0
2026,1
2027,0
2028,0
2029,0
2030,1
2031,0
2032,1
2033,1
2034,1
2035,1
2036,1
2037,1
2038,0
2039,0
2040,1
2041,1
2042,1
2043,0
2044,1
2045,0
2046,1
2047,0
2048,0
2049,1
2050,0
2051,1
2052,1
2053,0
2054,0
2055,1
2056,0
2057,0
2058,1
2059,1
2060,1
2061,0
2062,0
2063,1
2064,1
2065,1
2066,1
2067,0
2068,0
2069,1
2070,0
2071,0
2072,1
2073,1
2074,1
2075,1
2076,1
2077,1
2078,0
2079,1
2080,1
2081,1
2082,1
2083,1
2084,0
2085,0
2086,0
2087,1
2088,0
2089,1
2090,1
2091,1
2092,1
2093,0
2094,0
2095,0
2096,0
2097,0
2098,0
2099,0
2100,0
2101,1
2102,1
2103,1
2104,1
2105,1
2106,1
2107,0
2108,0
2109,0
2110,0
2111,0
2112,0
2113,0
2114,1
2115,1
2116,1
2117,1
2118,0
2119,0
2120,0
2121,1
2122,0
2123,0
2124,0
2125,0
2126,0
2127,1
2128,0
2129,0
2130,1
2131,0
2132,0
2133,1
2134,1
2135,1
2136,0
2137,0
2138,1
2139,1
2140,1
2141,0
2142,1
2143,1
2144,1
2145,1
2146,0
2147,0
2148,0
2149,1
2150,0
2151,0
2152,0
2153,0
2154,0
2155,0
2156,1
2157,1
2158,1
2159,0
2160,1
2161,0
2162,0
2163,1
2164,0
2165,0
2166,1
2167,1
2168,1
2169,0
2170,1
2171,1
2172,0
2173,1
2174,0
2175,0
2176,1
2177,1
2178,0
2179,1
2180,1
2181,0
2182,0
2183,0
2184,0
2185,0
2186,0
2187,0
2188,0
2189,1
2190,0
2191,0
2192,1
2193,0
2194,1
2195,1
2196,0
2197,0
2198,0
2199,0
2200,1
2201,0
2202,0
2203,1
2204,0
2205,0
2206,1
2207,0
2208,1
2209,0
2210,1
2211,1
2212,1
2213,0
2214,0
2215,1
2216,0
2217,0
2218,0
2219,1
2220,0
2221,1
2222,0
2223,1
2224,1
2225,1
2226,1
2227,0
2228,1
2229,1
2230,0
2231,0
2232,0
2233,0
2234,1
2235,1
2236,1
2237,0
2238,0
2239,0
2240,0
2241,0
2242,0
2243,0
2244,0
2245,0
2246,0
2247,1
2248,1
2249,1
2250,0
2251,1
2252,0
2253,0
2254,0
2255,0
2256,0
2257,1
2258,1
2259,1
2260,0
2261,1
2262,1
2263,1
2264,1
2265,1
2266,0
2267,0
2268,0
2269,0
2270,1
2271,1
2272,1
2273,0
2274,1
2275,1
2276,0
2277,1
2278,1
2279,0
2280,0
2281,1
2282,1
2283,0
2284,0
2285,1
2286,0
2287,1
2288,0
2289,1
2290,1
2291,0
2292,1
2293,1
2294,1
2295,1
2296,1
2297,0
2298,0
2299,0
2300,1
2301,1
2302,1
2303,0
2304,0
2305,1
2306,1
2307,1
2308,0
2309,0
2310,0
2311,0
2312,0
2313,1
2314,0
2315,0
2316,0
2317,1
2318,0
2319,0
2320,1
2321,1
2322,1
2323,1
2324,1
2325,1
2326,1
2327,0
2328,0
2329,1
2330,1
2331,0
2332,1
2333,0
2334,1
2335,1
2336,0
2337,0
2338,0
2339,1
2340,1
2341,1
2342,0
2343,1
2344,0
2345,1
2346,0
2347,0
2348,1
2349,1
2350,0
2351,0
2352,1
2353,1
2354,0
2355,0
2356,1
2357,1
2358,0
2359,1
2360,0
2361,0
2362,0
2363,0
2364,1
2365,1
2366,1
2367,1
2368,0
2369,1
2370,1
2371,1
2372,1
2373,1
2374,1
2375,1
2376,0
2377,1
2378,1
2379,0
2380,0
2381,1
2382,0
2383,0
2384,0
2385,0
2386,0
2387,0
2388,1
2389,0
2390,1
2391,0
2392,1
2393,0
2394,0
2395,0
2396,1
2397,1
2398,1
2399,0
2400,1
2401,0
2402,1
2403,0
2404,1
2405,0
2406,1
2407,1
2408,1
2409,1
2410,0
2411,1
2412,1
2413,0
2414,1
2415,1
2416,1
2417,1
2418,0
2419,1
2420,1
2421,0
2422,0
2423,0
2424,1
2425,1
2426,1
2427,0
2428,1
2429,1
2430,0
2431,0
2432,0
2433,0
2434,0
2435,1
2436,1
2437,1
2438,0
2439,1
2440,0
2441,1
2442,0
2443,1
2444,1
2445,0
2446,0
2447,0
2448,1
2449,0
2450,0
2451,0
2452,0
2453,1
2454,1
2455,0
2456,0
2457,1
2458,1
2459,0
2460,1
2461,1
2462,0
2463,0
2464,1
2465,0
2466,0
2467,1
2468,1
2469,0
2470,0
2471,1
2472,0
2473,1
2474,1
2475,1
2476,0
2477,1
2478,0
2479,1
2480,0
2481,0
2482,0
2483,0
2484,1
2485,0
2486,0
2487,0
2488,1
2489,0
2490,0
2491,0
2492,1
2493,0
2494,0
2495,1
2496,0
2497,0
2498,0
2499,0
2500,0
2501,0
2502,0
2503,0
2504,0
2505,0
2506,1
2507,1
2508,0
2509,0
2510,0
2511,0
2512,1
2513,0
2514,1
2515,0
2516,0
2517,0
2518,1
2519,1
2520,1
2521,1
2522,0
2523,1
2524,1
2525,1
2526,0
2527,1
2528,0
2529,0
2530,1
2531,1
2532,1
2533,1
2534,0
2535,0
2536,0
2537,1
2538,1
2539,0
2540,0
2541,1
2542,0
2543,1
2544,1
2545,1
2546,1
2547,1
2548,1
2549,0
2550,0
2551,0
2552,0
2553,1
2554,1
2555,1
2556,1
2557,0
2558,0
2559,1
2560,1
2561,1
2562,0
2563,1
2564,0
2565,1
2566,1
2567,1
2568,1
2569,0
2570,1
2571,0
2572,1
2573,1
2574,0
2575,0
2576,0
2577,0
2578,0
2579,0
2580,1
2581,1
2582,1
2583,1
2584,1
2585,0
2586,1
2587,0
2588,0
2589,0
2590,1
2591,1
2592,0
2593,1
2594,0
2595,0
2596,1
2597,0
2598,0
2599,0
2600,0
2601,1
2602,1
2603,0
2604,0
2605,0
2606,1
2607,0
2608,1
2609,0
2610,0
2611,0
2612,0
2613,1
2614,1
2615,1
2616,0
2617,1
2618,0
2619,0
2620,1
2621,1
2622,0
2623,0
2624,1
2625,1
2626,0
2627,0
2628,1
2629,1
2630,1
2631,0
2632,1
2633,1
2634,0
2635,1
2636,1
2637,1
2638,0
2639,0
2640,0
2641,0
2642,1
2643,1
2644,0
2645,1
2646,1
2647,0
2648,1
2649,1
2650,0
2651,1
2652,0
2653,0
2654,0
2655,0
2656,0
2657,1
2658,1
2659,1
2660,0
2661,0
2662,1
2663,0
2664,0
2665,0
2666,1
2667,0
2668,1
2669,1
2670,0
2671,1
2672,1
2673,0
2674,1
2675,0
2676,1
2677,0
2678,1
2679,0
2680,0
2681,0
2682,1
2683,1
2684,0
2685,0
2686,0
2687,0
2688,0
2689,0
2690,1
2691,0
2692,0
2693,0
2694,0
2695,0
2696,0
2697,0
2698,0
2699,1
2700,1
2701,1
2702,0
2703,0
2704,1
2705,0
2706,0
2707,0
2708,0
2709,1
2710,0
2711,0
2712,1
2713,1
2714,1
2715,1
2716,1
2717,0
2718,1
2719,0
2720,0
2721,1
2722,0
2723,0
2724,1
2725,0
2726,0
2727,1
2728,0
2729,0
2730,0
2731,0
2732,1
2733,0
2734,0
2735,0
2736,1
2737,1
2738,0
2739,1
2740,1
2741,0
2742,0
2743,1
2744,0
2745,0
2746,1
2747,1
2748,1
2749,1
2750,0
2751,1
2752,0
2753,0
2754,0
2755,0
2756,1
2757,0
2758,0
2759,1
2760,0
2761,1
2762,1
2763,0
2764,1
2765,0
2766,0
2767,0
2768,0
2769,0
2770,0
2771,1
2772,1
2773,0
2774,1
2775,1
2776,0
2777,1
2778,1
2779,1
2780,1
2781,0
2782,0
2783,1
2784,0
2785,0
2786,0
2787,0
2788,1
2789,1
2790,0
2791,0
2792,1
2793,0
2794,1
2795,1
2796,1
2797,1
2798,0
2799,0
2800,0
2801,0
2802,0
2803,0
2804,1
2805,1
2806,0
2807,0
2808,1
2809,1
2810,0
2811,0
2812,1
2813,0
2814,0
2815,0
2816,0
2817,0
2818,0
2819,1
2820,0
2821,1
2822,0
2823,0
2824,0
2825,0
2826,0
2827,0
2828,0
2829,0
2830,0
2831,1
2832,0
2833,0
2834,1
2835,0
2836,1
2837,1
2838,0
2839,0
2840,1
2841,0
2842,0
2843,1
2844,0
2845,1
2846,1
2847,1
2848,0
2849,1
2850,0
2851,1
2852,1
2853,1
2854,0
2855,0
2856,1
2857,0
2858,0
2859,1
2860,1
2861,0
2862,0
2863,1
2864,0
2865,1
2866,1
2867,1
2868,1
2869,0
2870,0
2871,1
2872,0
2873,0
2874,0
2875,0
2876,0
2877,1
2878,1
2879,1
2880,1
2881,1
2882,1
2883,1
2884,1
2885,0
2886,1
2887,1
2888,0
2889,0
2890,0
2891,1
2892,0
2893,1
2894,0
2895,0
2896,1
2897,1
2898,1
2899,1
2900,1
2901,0
2902,1
2903,0
2904,1
2905,0
2906,0
2907,0
2908,0
2909,0
2910,1
2911,1
2912,1
2913,1
2914,0
2915,0
2916,1
2917,0
2918,0
2919,1
2920,1
2921,0
2922,0
2923,0
2924,1
2925,0
2926,0
2927,1
2928,1
2929,1
2930,0
2931,0
2932,0
2933,0
2934,0
2935,0
2936,0
2937,1
2938,1
2939,1
2940,1
2941,1
2942,1
2943,0
2944,0
2945,0
2946,0
2947,1
2948,0
2949,1
2950,0
2951,1
2952,0
2953,1
2954,1
2955,0
2956,0
2957,1
2958,0
2959,1
2960,1
2961,0
2962,1
2963,0
2964,0
2965,0
2966,1
2967,1
2968,1
2969,0
2970,0
2971,0
2972,1
2973,1
2974,0
2975,1
2976,1
2977,1
2978,0
2979,1
2980,1
2981,0
2982,0
2983,0
2984,0
2985,1
2986,1
2987,0
2988,0
2989,0
2990,0
2991,0
2992,1
2993,1
2994,0
2995,0
2996,0
2997,0
